id,text,aspect_term,aspect_category,polarity
,The view is spectacular and the food is great.,food,ambience,positive
,"It's not amazing, but to me, Thai food is never and never will be.",thai food,food,neutral
3535,"the decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.",food's presentation,food,positive
2240,the service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,meals,service,positive
3617,another welcome addition to the neighborhood.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"The Sicilian is my favorite, it's moist, not dry like most other places, but the whole pizza is great!",sicilian,food,positive
999,"it is set far from the small street it's on, and there is no traffic noise.",traffic noise,ambience,positive
,"Since there were so many to choose from, we walked up and down the street and looked in the windows and noticed so many vacancies other than the Taj Mahal.",seats,anecdotes/miscellaneous,neutral
,"From the starters to the side dishes to the drinks, everything was creatively prepared and yet simple.",drinks,food,positive
2471,"the only weird thing was if we got a bottle, the waitress would have simply multiplied the glass price x4, which makes no sense whatsoever.",price,price,negative
,It is open all the time and is aimed at Pakistani taxi drivers on Crosby Street. So there is more income from groceries than expected (i.e. surprisingly fresh).,food,ambience,positive
3703,they used shredded cheese on top!,shredded cheese,food,neutral
458,nice family owned traditional restaurant.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
514,stepped on my foot on the second time he reached over me to adjust lighting.,service,service,negative
452,waiters are slow but sweet.,Waiters,service,conflict
2939,all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,priced,price,positive
3664,definitely not a restaurant to skip!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,very good bread too.,breads,food,positive
2933,"when we notified him that he didn't mention the specials, he didn't apologize but let us know that we made a very good decision regardless.",specials,service,negative
,"It costs an additional $ 2 to convert a regular roll to an inside-out roll, but the roll is over three times the size, and not just from the rice.",rice,price,negative
760,"for asian fusion, there are many places further downtown.",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,"A word to the wise, the Hoboken Health Inspector brought my attention to his finding that this is the cleanest restaurant in town.",ambience,ambience,positive
,The prices are wonderfully low.,prices,price,positive
,I recommend this place to anyone who enjoys good food at reasonable prices.,prices,price,positive
695,can't wait wait for my next visit.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"Great friendly service, quick seating, quick delivery, excellent sushi.",sushi,service,positive
3145,"the dim sum was so-so, but not spectacular.",Dim Sum,food,neutral
,The waiters and owners were nonchalant about this and promised to call the exterminator but weren't as upset or apologetic as I would have expected.,owners,service,negative
,"A glass of jumping lizard, a glass of Prosecco and the mussels had everything happy.",glass of Leaping Lizard,food,positive
,The whole place and the treatment we received felt like a conveyor belt.,place,ambience,negative
,I would go back.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Try the green curry !!!,green curry,food,positive
,I liked this hotel the first time but I doubt I'll ever come back.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,"The Sicilian is my favorite, it's moist, not dry like most other places, but the whole pizza is great!",sicilian,food,positive
2957,"the waiters are sweet, the food is tasty and the bill is never too large.",bill,price,positive
1377,"i found it on a cold night, the perfect spot to warm up.",spot,ambience,positive
2077,very good breads as well.,breads,food,positive
,We went after a drink.,drink,anecdotes/miscellaneous,neutral
,Finally a reliable Chinese restaurant!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1431,i don't think i would go again.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,"An excellent alternative to fast food joints and orders, but the food was a little disappointing.",food,anecdotes/miscellaneous,positive
2669,"i actually gave patroon another chance before writing this, but the second visit was even worse.",anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,"While I really enjoyed the food and ambience, I'm not entirely sure they really deserve the Michelin rating they put so loudly in the window.",ambience,ambience,conflict
2284,the food is okay and the prices here are mediocre.,prices,price,neutral
,Try the olive cream cheese or the salmon spread on a whole grain bagel.,bagel,food,positive
1540,they showed up 15 minutes after the tuna melt.,tuna,service,negative
,We enjoyed it so much that we will always aim to dine here when visiting New York.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
2251,i was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,thai cuisine,ambience,positive
,"The only positive thing was the staff, who were quick, knowledgeable and personable.",wait staff,service,positive
755,for sure i will keep coming back because i feel really this restaurant deserves.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Arigato Gozima's Yuka!,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,two men are pushed in behind this counter.,counter,ambience,negative
,We were tired and cold when we got to the restaurant then we sat down to order starters.,appetizers,anecdotes/miscellaneous,neutral
,This place has to be the best Japanese restaurant in the New York area.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,The cold starters taste the way I remember growing up in Taiwan.,cold appetizer dishes,food,positive
716,we were very disappointed.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
1078,the fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.,dosa batter,food,positive
,For $ 600 (the highest we've ever paid) not waving a wand brings us back to repetition.,price,price,negative
709,"what is even better, is that the prices are very affordable as well, and the food is really good.",food,price,positive
3042,"we have never had any problems with charging the meal or the tip, and the food was delivered quickly, but we live only a few minutes walk from them.",tip,service,positive
,I had the salmon dish and while it was ok I expected for the price paid that it would have some sort of taste.,price,food,conflict
1019,it is not consistent.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,Every time my husband and I go there we never get disappointed.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,That was a big surprise.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1458,our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,service,positive
3643,"always a nice crowd, but never loud.",crowd,ambience,positive
769,three of us arrived for dinner about 5:30 on a week night without reservations.,reservations,anecdotes/miscellaneous,neutral
1922,"granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,ambience,negative
3018,"oh, don't even let me start with how expensive the bills were!",bills,price,negative
,"Moules were excellent, lobster ravioli was very salty!",lobster ravioli,food,conflict
,We visit at least once a month.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,Overall a rewarding experience.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,I asked for an open cheese sandwich and the manager basically told me to move my business elsewhere!,open faced cheese sandwich,service,negative
,The selection of wine lists is good and the wine by the glass was generously filled to the top.,wine-by-the-glass,food,positive
,They are the best bagels I've ever had.,bagels,food,positive
754,"it's really also the service, is good and the waiters are friendly.",waiters,service,positive
209,great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,place,ambience,positive
1926,went to village last night for my birthday.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
54,heartland brewery is a great way to start or finish your day.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
2275,"this place is a literal hole-in-the-wall that is buried within doyers, right off of pell st (barber's alley) in chinatown.",ambience,ambience,negative
3273,not too crazy about their sake martini.,sake martini,food,negative
1165,but trust me it is so worth it.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
2280,"the restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic taiwanese.",Taiwanese,food,positive
,We went to this place by chance and were happy with the results.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
426,"toons has recently been redone, so it's now a very attractive space.",space,ambience,positive
,"Since there were so many to choose from, we walked up and down the street and looked in the windows and noticed so many empty seats except in the Taj Mahal.",seats,anecdotes/miscellaneous,neutral
3026,"the blond wood decor is very soothing, the premium sake is excellent and the service is great.",service,ambience,positive
444,veal parmigana - better than patsy's!,Veal Parmigana,food,positive
1486,i have tried the various slice joints around the village but this is by far the best one.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
3666,yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,wait,ambience,negative
,I was so glad this was the place the trip ended because it was so amazing!,Fish,anecdotes/miscellaneous,positive
2726,just go and see for yourself.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
15,my friends and i showed up on a sat.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,incredible.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"There are some Italian staff who may not speak the best English, but for me that adds to the experience.",employees,service,conflict
,The sake collection was excellent (try Nanbu Bijin) but expensive.,Nanbu Bijin,price,negative
1375,i love it.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,metrazur has a nice place that overlooks the main terminal.,spot,ambience,positive
321,came looking for this place because i heard good things.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,Ambience and music funky that I enjoy.,music,ambience,positive
2569,visited there while on vacation and reading the reviews.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
2277,"the cuisine from what i've gathered is authentic taiwanese, though its very different from what i've been accustomed to in taipei.",cuisine,food,neutral
3289,this place has got to be the best japanese restaurant in the new york area.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"After we got our sashimi order, I couldn't believe how small the portions were!",portions,food,negative
,"Wow, over 100 beers to choose from.",beers,food,positive
,Hurleys are like cheering where everyone knows your name and they're actually glad you came.,service,service,positive
3138,"having discovered ping's on the internet, we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in.",fish tanks,ambience,positive
,The salmon is always fresh too.,lox,food,positive
2614,"it was the first place we ate on our first trip to new york, and it will be the last place we stop as we head out of town on our next trip to new york.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,But who says Murray has anything to do with service?,service,service,neutral
1916,"it's charmingly small and that leads to an atmoshere that is extremely cozy and romantic, even.",atmoshere,ambience,positive
,"Alain Ducasse is the best of everything, I mean everything was excellent",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
231,i went there in late afternoon for some bite size food and refleshment with my date.,refleshment,anecdotes/miscellaneous,neutral
1788,"i have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",menu,food,conflict
3370,the pizza is delicious and the proprietor is one of the nicest in nyc.,proprietor,service,positive
2192,"my gf and i still choose to eat there a lot because of diverse cocktails, the chill decor, and the decent sushi.",sushi,ambience,positive
416,they were very abrupt with me when i called and actually claimed the food was late because they were out of rice.,rice,service,negative
646,there is nothing more pleasant than that.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,This place has to be the best Japanese restaurant in the New York area.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
3496,pizza was a little soggy.,Pizza,food,negative
,not worth the prices.,prices,price,negative
1821,i stumbled upon this great pizzeria as i explored my new neighborhood.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,This big raffle is all you can get sushi here for $ 19.95!,sushi,price,positive
,There are other people waiting!,waiting,service,neutral
,a ++ the service was good to excellent together with the attitude.,attitude,service,positive
1613,it was wonderful.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"Still, my date was bad",anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,"This wasn't the expected menu, which only consisted of Pad Thai and Tom Yum soup, but I thought this was what made the place so special.",tom yum soup,food,positive
,oh yeah always try on the west side there sister restaurant Arties Cafe.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"my selection: Guizhou chicken, fish with hot beans, fish fillet in the spicy spring (special menu).",special menu,food,positive
673,at the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,food,positive
,also a bit more expensive than your average bagel place.,bagel,price,negative
1634,"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,food,positive
1117,"to finish off such a delightful dinner experience you must have dessert, especially the white chocolate bread pudding with gelato and hot chocolate.",dinner,food,positive
474,"save your money and don't waste your calories, go to margharita's on washington street instead, they have amazing food and the best service.",service,anecdotes/miscellaneous,negative
3112,some servers make you feel like they are doing you a favor to bring you the food.,food,service,negative
,I'm dropping more dollar bills here than your uncle after a weekend.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
1852,my biggest complaint was the un-tasty food although presented well.,food,food,conflict
,"I found the food to be outstanding, especially the salmon dish I had.",salmon dish,food,positive
3692,"but don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",bacos,food,negative
,"delicious bagels, especially when they come straight out of the oven.",bagels,food,positive
115,bravissimo !!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
987,gigino's in wagner park is so enjoyable.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,The menu has a lot of options: I hope I can come back to try these potato pancakes.,potato pancakes,food,positive
1423,what makes this restaurant special are the authentic sichuan cooking and being the only one in nyc that offers authentic chongqing hotpot.,chongqing hotpot,anecdotes/miscellaneous,positive
3258,one of my favorite restaurants in the neighborhood.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,This is what the modern kitchen is all about.,CUISINE,anecdotes/miscellaneous,positive
,So I figured why not change it a little.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,Overall not worth the money.,money,price,negative
,"I had the lobster biscuit, it's 2 ounces. of Maine Lobster there.",Maine Lobster,food,positive
,I tried the pad on the recommendation of the previous reviewer as it is one of my favorite dishes.,dishes,food,neutral
3139,"where tanks in other chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.",brunch,ambience,positive
,"After two attempts by the waiter to take it away (we hadn't even looked, we still had full beer to drink) the manager came and told us they needed the table for people with reservations.",reservations,service,negative
1969,"the service, wine selection, ambiance are all outstanding and deserve recognition.",ambiance,ambience,positive
,The service is fantastic.,service,service,positive
701,planet thai is great!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,The burger was great too.,burger,food,positive
1492,"even with john's and joe's around the corner, this place will make a name for itself.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,The decor is really blah and not hip or happening at all.,decor,ambience,negative
1712,we happened upon this place purely by accident and were pleased with the results.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1211,"while they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.",bagels,price,positive
3579,i got an excellent piece of cheesecake and we had several other nice pastries.,pastries,food,positive
2390,we saw them heating up at least one frozen item though i'm not sure which dim sum dish it was.,dim sum dish,food,negative
,"The secret is the lunch menu, which offers a free starter for every starter ordered.",entree,food,positive
847,"looking around, i saw a room full of new yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",clubhouse,food,positive
,We arrived on time for our reservation and sat down straight away,reservation,service,positive
502,we were very surprised by how good the food was on our first visit here on a sunday night.,food,food,positive
3034,"don't waste your time, or money!!",anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,"Compared to other shabu restaurants in town, this place undoubtedly wins.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Everything that happened wasn't even mediocre.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
3353,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the peter's favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",Peter's Favourite pizza with prosciutto and baby arugula,food,positive
2588,"first off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,service,negative
,"Advice, save space for pasta dishes and don't leave until you've finished the tiramisu.",tiramisu,food,positive
,We also ordered two hot dogs which thought they were pretty good as there is a whole section on the menu dedicated to them.,menu,anecdotes/miscellaneous,neutral
,not the typical nyc gimmick themed restaurant.,ambience,ambience,positive
887,what came to our table was burned beyond recognition and stringy.,table,food,negative
1006,i've been to several places for dim sum and this has got to be the worst.,Dim Sum,anecdotes/miscellaneous,negative
2243,"its location is good and the fact that hutner college is near and their prices are very reasonable, makes students go back to suan again and again.",prices,price,positive
,This tiny place in Williamsburg is always pleasantly surprising.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
560,the dinner menu is diverse and top-notch as well.,dinner menu,food,positive
,The big complaint: no toasting possible.,TOASTING,food,negative
2832,"the food is wonderful, tasty and filling, and the service is professional and friendly.",service,service,positive
3463,"i don't know about you guys, but when i go somewhere to eat i go for the food not for the atmosphere.",atmosphere,anecdotes/miscellaneous,neutral
3106,"however, i do not understand the extraordinary hype about this restaurant.",anecdotes/miscellaneous,anecdotes/miscellaneous,negative
3443,service was efficient courteous.,service,service,positive
2645,"but their best dish is thh thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.",cost,price,positive
3070,you'll adore it.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,For some reason the place was empty when we entered and stayed that way all evening. I don't understand why but we had a great time and will definitely be back next time we are in the area.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"probably much busier for lunch, rarely crowded for dinner (too close to downtown).",dinner,ambience,neutral
,"French fries were delicious, if a little thick.",Frites,food,positive
3468,so all i'm trying to say is this restaurant is by far the best thai food restaurant i've ever been to.,thai food,anecdotes/miscellaneous,positive
654,this is the best shabu-shabu restaurant in the try-state area.,food,food,positive
1705,"while certain staples are excellent (the burger, some of the pastas), the food is not really the point.",staples,food,conflict
2054,first of all dal bukhara rocks.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
291,i loved it and will be back soon.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,We ate outside at Haru's Sake Bar because Haru's restaurant next door was crowded.,bar,anecdotes/miscellaneous,neutral
2429,"however, it just so happens that there's an even more amazing place just down the street.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Bring it together.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
3490,we have lived in chelsea for two years and have never noticed this restaurant.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
668,"compared to other shabu restaurants around town, this places wins hands-down.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,In the summer there is also a back garden - cute and French with outdoor seating - what more could you ask for?,outdoor seatin,ambience,positive
,Beef noodle soup is good too.,Beef noodle soup,food,positive
,I am glad to be a regular at this place and highly recommend it to everyone.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Every time my husband and I go there we never get disappointed.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
824,for out-of-towners who will get a big thrill out of the location!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Waiters are very friendly.,Waitstaff,service,positive
,I only have friends.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,"Wine list isn't huge, but definitely well selected.",Wine list,food,conflict
3627,"again, if you are in this neighborhood - by all means, come here.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,it is comfortable.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
3119,i would definitely recommend mary's and am making it one of my regular neighborhood haunts.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1015,a cool place to hang with your friends for a couple of healthy drinks and desserts.,desserts,ambience,positive
,great staff.,staff,service,positive
2018,i was pretty much full after our fondue appetizer.,fondue appetizer,anecdotes/miscellaneous,positive
,"Volare virgins or weekly regulars, everyone is treated equally and you can't ask for more when the service is so friendly.",service,service,positive
,There are other people waiting!,waiting,service,neutral
854,got a little loud after 8pm when the joint got full.,ambience,ambience,negative
,This time I prefer not to go into details.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
1587,the best place to bring kids or any friends who want to do something different.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,I've been several times and I'm absolutely thrilled.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1811,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",service,service,negative
1906,my husband and i enjoyed each of the 6 taste size portions and left completely full.,portions,food,positive
,We went after a drink.,drink,anecdotes/miscellaneous,neutral
38,"the man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).",table,service,negative
1497,we had the most wonderful waitress.,waitress,service,positive
,Right on the l in Brooklyn this is a nice cozy place with good pizza.,place,ambience,positive
2447,not pretentious and very economical.,price,price,positive
2830,"when i'm feeling stressed by the noise and congestion around my office, i head for cafe st. bart's.",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,They treated us well and the food was very fresh and well prepared.,food,service,positive
2580,"if it isn't for the food (a+++), it must be the service or the ambience.",ambience,ambience,positive
2833,"i can't wait for summer, when they serve outside on their gigantic patio.",patio,ambience,positive
,Patroon has a nice cigar bar and great staff.,staff,ambience,positive
2690,please be aware that it's cash or amex only!,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,The food is good.,food,food,positive
,The drinks were excellent and the dessert was good.,dessert,food,positive
,"In the meantime, the bartender continued to pour champagne from his reserve after we ran out of our bottle and we enjoyed an amusing beet soup with basil puree, free.",turnip soup with pureed basil,service,positive
,"We shared a bottle of sake, an order from Edamames, and she had the sushi plate while I had the sashimi.",sashimi,food,neutral
,The food was good too.,food,food,positive
1483,"they're also friendlier here, especially the owner, kenny.",owner,service,positive
1987,"on the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with alain ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",quantity,ambience,conflict
,"So, for good food, I would recommend it, but not for a fun evening.",food,ambience,negative
,The best Chicken Pad Tai I've ever had.,Chicken pad tai,food,positive
685,"not sure where the previous reviewer, lonk, dined, but saul is in a great neighborhood and has great food!",food,ambience,positive
,We had a wonderful meal in Naples a month ago while visiting New York.,meal,food,positive
1718,"great food, great decor, great service.",service,ambience,positive
2178,"my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good.",bagles,food,positive
,The fried rice is very good too.,fried rice,food,positive
3601,i have eaten at many pizza places around nyc and this is hands down the worst.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
2281,"if you're not familiar with the cuisine, you may encounter problems ordering here and be sure to bring plenty of cash with you as they don't accept credit cards.",cuisine,anecdotes/miscellaneous,negative
,Hi Beauty,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,so so so so so good!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Salads are a delicious way to start your meal.,meal,food,positive
,Good luck at the table.,getting a table,anecdotes/miscellaneous,negative
1000,"the food is good, especially their more basic dishes, and the drinks are delicious.",drinks,food,positive
571,for my birthday and we had an excellent time.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,The pizza here is delicious.,pizza,food,positive
1203,i came to this restaurant expecting to be surprised but left bored and overcharged.,price,price,negative
,the food options rule.,food options,food,positive
,He always says I have no customers.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,very good!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,big thumbs up!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,I love this cozy rest on the way.,ambience,ambience,positive
3637,"we parked on the block of nina's the place looked nice, with people obviously enjoying their pizzas.",pizzas,food,positive
,"I'm not sure where the previous reviewer, Lonk, had dinner, but Saul is in a great neighborhood and has great food!",food,ambience,positive
3092,try the tandoori salmon!,tandoori salmon,food,positive
343,it is obvious that no one in the restaurant has any idea about or experience with japanese cuisine.,Japanese cuisin,food,negative
,They were able to squeeze me in at 6am after calling the night before my anniversary with a Friday night reservation and telling me they would treat us well for the occasion.,reservation,anecdotes/miscellaneous,neutral
,The atmosphere is great if you're looking for a relaxed scene and a cheap way to spend a weekend afternoon.,atmosphere,price,positive
,"I think, as my friends and I described, it was the French colonies.",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,"I didn't complain, I liked the atmosphere so much.",atmosphere,ambience,positive
497,i knew upon visiting nyc that i wanted to try an orginal deli.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,"The service is spotty, sometimes very friendly and sometimes barely there.",service,service,conflict
,Bill a little high but worth it.,Bill,price,conflict
,"While the menu isn't particularly groundbreaking, everything I've tried so far has been well executed and tasty.",menu,food,conflict
900,interior was so so.,ambience,ambience,negative
1380,definately check it out!!!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
440,others have to go to other restaurants and feel sad until they're eaten.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,We even had a visit from the manager who wanted to make sure we were enjoying ourselves.,Manager,service,positive
,"This wasn't the expected menu, which only consisted of Pad Thai and Tom Yum soup, but I thought this was what made the place so special.",tom yum soup,food,positive
183,"the service varys from day to day- sometimes they're very nice, and sometimes not.",service,service,conflict
,I've known this secret for 13 years. Emilio (the godfather) continues to serve food and wine to the gods at mortal prices.,prices,food,positive
2196,get the feeling they settled into a groove a while ago.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,Eating out at Ottimo is like eating out at Chef Salvatore Esposito's.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
8,"the service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",served,service,negative
24,sexy.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,This is one of the many Italian food fare institutions.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
564,we were told that they were booked solid and no other table was available.,table,service,negative
,"The sangria was delicious and good on a hot, humid day.",sangria,food,positive
,"For me it's an example of Soho, cute, artsy, interesting.",ambience,ambience,positive
2902,"still, try it once, since if you end up loving the food, it could be one of your best dining experiences.",dining experiences,anecdotes/miscellaneous,positive
764,i ordered a chicken teriyaki dish and found that the chicken was extremely dry.,chicken,food,negative
952,"we left, never to return.",anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,"I asked for seltzer with lime, without ice.",seltzer with lime,food,neutral
,For $ 600 (the highest we've ever paid) not waving a wand brings us back to repetition.,price,price,negative
960,the restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,meal,food,positive
1479,can't wait to go back.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,I have to say that I am pleasantly surprised and most likely will stop by again when I'm in the neighborhood.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,it's not worth it.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,The menu has a lot of options: I hope I can come back to try these potato pancakes.,potato pancakes,food,positive
,and for that I had to shell out a small fortune?,price,price,negative
861,i came here with my boyfriend for our anniversary because it was highly recommended to him by a friend.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
3612,leave the kids at home!,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,This tiny place in Williamsburg is always pleasantly surprising.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
576,went here on a friend's reccomendation.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,"Forget the hustle and bustle and the waiting and the noise (which is actually not that bad), I mean, please, who goes to a steakhouse to feel pampered and romantic?",rush,ambience,conflict
2477,and i say snacking because it really is not set up to be a proper dinner.,snacking,ambience,conflict
731,"try the mediterranean salad, it is a true experience for your taste buds!!",mediterranean salad,food,positive
831,i must say it's a little pricey for the food because it was not as spectacular as the view.,food,price,negative
,"Still, my date was bad",anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,"But hey, there's something better with a decent vegetarian selection in Astoria.",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
1437,"be careful, when they say spicy, they mean it!",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
669,but too far east!,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
2841,"i'm no food critic, but i'd like to think i have a tiny bit of experience under my belt having lived in ny for the last 11 years.",food,anecdotes/miscellaneous,neutral
1204,"perhaps this food is considered extreme to an upper east side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull.",ethnic food,food,conflict
,"They are tasty, but I suggest eating only one with meat because they don't go well with the average American digestive system.",meat,food,conflict
2258,kudos haru,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
258,i go and eat out at many different restaurants and this is one place you have go and try.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
3706,was there friday night.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
